ID,Title,Genre,X5,X6,author_ID_link,Author_ID,name,surname,forename,gender,date_of_birth,date_of_death,place_of_birth,longitude,latitude
achenwall_staatswissenschaft_1749,Abriß der neuesten Staatswissenschaft der vornehmsten Europäischen Reiche und Republicken,Wissenschaft,Gottfried Achenwall,1749,http://d-nb.info/gnd/118643657,118643657,Gottfried Achenwall,Achenwall,Gottfried,Mann,20. Oktober 1719,1. Mai 1772,Elbing,19.40884,54.1522
opitz_schaefferey_1630,Schäfferey Von der Nimfen Hercinie,Belletristik,Martin Opitz,1630,http://d-nb.info/gnd/118590111,118590111,Martin Opitz,Opitz,Martin,Mann,23. Dezember 1597,20. August 1639,Bunzlau,15.569699,51.26418
albertinus_landtstoertzer01_1615,Der Landtstörtzer: Gusman von Alfarche oder Picaro genannt/ dessen wunderbarliches/ abenthewrlichs vnd possirlichs Leben/ was gestallt er schier alle ort der Welt durchloffen/ allerhand Ständt/ Dienst vnd Aembter versucht/ vil guts vnd böses begangen vnd außgestanden/ jetzt reich/ bald arm/ vnd widerumb reich vnd gar elendig worden/ doch letztlichen sich bekehrt hat/ hierin beschriben wirdt,Belletristik,Aegidius Albertinus,1615,http://d-nb.info/gnd/118501518,118501518,Aegidius Albertinus,Albertinus,Aegidius,Mann,1560,9. März 1620,Deventer,6.16389,52.255
rollenhagen_reysen_1603,Vier Bücher Wunderbarlicher biß daher vnerhörter/ vnd vngleublicher Jndianischer reysen/ durch die Lufft/ Wasser/ Land/ Helle/ Paradiß/ vnd den Himmel,Belletristik,Gabriel Rollenhagen,1603,http://d-nb.info/gnd/118791028,118791028,Gabriel Rollenhagen,Rollenhagen,Gabriel,NA,1583,1619,Magdeburg,11.629166,52.1275
klopstock_oden_1771,Oden,Belletristik,Friedrich Gottlieb Klopstock,1771,http://d-nb.info/gnd/118563386,118563386,Friedrich Gottlieb Klopstock,Klopstock,Friedrich Gottlieb,Mann,2. Juli 1724,14. März 1803,Quedlinburg,11.150059,51.788429
calvi_beutelschneider02_1627,Beutelschneider/ Oder Neue/ warhaffte/ vnd eigentliche Beschreibung Der Diebs Historjen,Belletristik,François de Calvi,1627,http://d-nb.info/gnd/128582502,128582502,François de Calvi,Calvi,François,NA,NA,NA,Lyon,4.846709,45.74846
glauber_furni04_1648,Furni Philosophici Oder Philosophischer Oefen Vierdter Theil,Wissenschaft,Johann Rudolph Glauber,1648,http://d-nb.info/gnd/118695304,118695304,Johann Rudolph Glauber,Glauber,Johann Rudolph,Mann,16. April 1604,10. März 1670,Karlstadt,9.772389,49.96034
unzer_erstegruende_1771,Erste Gründe einer Physiologie der eigentlichen thierischen Natur thierischer Körper,Wissenschaft,Johann August Unzer,1771,http://d-nb.info/gnd/118963600,118963600,Johann August Unzer,Unzer,Johann August,Mann,29. April 1727,2. April 1799,Halle (Saale),12,51.5
aston_emancipation_1846,"Meine Emancipation, Verweisung und Rechtfertigung",Gebrauchsliteratur,Louise Aston,1846,http://d-nb.info/gnd/118650769,118650769,Louise Aston,Aston,Louise,Frau,26. November 1814,21. Dezember 1871,Gröningen,11.216111,51.9375
laukhard_leben02_1792,F. C. Laukhards Leben und Schicksale,Belletristik,Friedrich Christian Laukhard,1792,http://d-nb.info/gnd/118726692,118726692,Friedrich Christian Laukhard,Laukhard,Friedrich Christian,Mann,7. Juni 1757,28. April 1822,Wendelsheim,8,49.766669
pestalozzi_lienhard01_1781,Lienhard und Gertrud,Belletristik,Johann Heinrich Pestalozzi,1781,http://d-nb.info/gnd/118592912,118592912,Johann Heinrich Pestalozzi,Pestalozzi,Johann Heinrich,Mann,12. Januar 1746,17. Februar 1827,Zürich,8.55,47.366666
purmann_feldscher_1680,Der rechte und wahrhafftige Feldscher,Wissenschaft,Matthäus Gottfried Purmann,1680,http://d-nb.info/gnd/124546420,124546420,Matthäus Gottfried Purmann,Purmann,Matthäus Gottfried,NA,28. März 1649,XX.XX.1711,Lubin,16.201489,51.400889
obrecht_secreta_1617,Fünff Vnderschiedliche Secreta Politica Von Anstellung/ Erhaltung vnd Vermehrung guter Policey/ vnd von billicher/ rechtmässiger vnd nothwendiger Erhöhung/ eines jeden Regenten Jährlichen Gefällen vnd Einkommmen,Gebrauchsliteratur,Georg Obrecht,1617,http://d-nb.info/gnd/117078573,117078573,Georg Obrecht,Obrecht,Georg,Mann,1547,1612,NA,NA,NA
brockes_vergnuegen05_1736,Jrdisches Vergnügen in Gott,Belletristik,Barthold Heinrich Brockes,1736,http://d-nb.info/gnd/118515586,118515586,Barthold Heinrich Brockes,Brockes,Barthold Heinrich,Mann,22. September 1680,16. Januar 1747,Hamburg,10,53.583329
krueger_weltweisheit_1746,Geschichte der Erde in den allerältesten Zeiten,Wissenschaft,Johann Gottlob Krüger,1746,http://d-nb.info/gnd/118826565,118826565,Johann Gottlob Krüger,Krüger,Johann Gottlob,Mann,15. Juni 1715,8. Oktober 1759,Halle (Saale),12,51.5
lucius_warnung_1747,"Warnung An Die liebe Jugend, Vor der schrecklichen Gefahr Der mannigfaltigen Verführung zum Bösen",Gebrauchsliteratur,Samuel Lutz,1747,http://d-nb.info/gnd/125000820,125000820,Samuel Lutz,Lutz,Samuel,Mann,10. August 1674,28. Mai 1750,Biglen,NA,NA
arnold_ketzerhistorie02_1700,Gottfrid Arnolds Fortsetzung und Erläuterung Oder Dritter und Vierdter Theil der unpartheyischen Kirchen- und Ketzer-Historie,Wissenschaft,Gottfried Arnold,1700,http://d-nb.info/gnd/118650386,118650386,Gottfried Arnold,Arnold,Gottfried,Mann,5. September 1666,30. Mai 1714,Annaberg (Erzgebirge),13.005,50.578611
benner_herrnhuterey02_1747,Die Herrnhuterey in ihrer Schalkheit,Wissenschaft,Johann Hermann Benner,1747,http://d-nb.info/gnd/116121254,116121254,Johann Hermann Benner,Benner,Johann Hermann,Mann,15. Dezember 1699,8. Juli 1782,Gießen,8.65,50.583329
blumenbach_anatomie_1815,Handbuch der vergleichenden Anatomie,Wissenschaft,Johann Friedrich Blumenbach,1815,http://d-nb.info/gnd/116208503,116208503,Johann Friedrich Blumenbach,Blumenbach,Johann Friedrich,Mann,11. Mai 1752,22. Januar 1840,Gotha,10.701666,50.948055
sander_beschreibung01_1783,"Heinrich Sanders Beschreibung seiner Reisen durch Frankreich, die Niederlande, Holland, Deutschland und Italien",Gebrauchsliteratur,Heinrich Sander,1783,http://d-nb.info/gnd/117721999,117721999,Heinrich Sander,Sander,Heinrich,Mann,1754,1782,Köndringen,7.806129,48.1394
fontane_kinderjahre_1894,Meine Kinderjahre,Belletristik,Theodor Fontane,1894,http://d-nb.info/gnd/118534262,118534262,Theodor Fontane,Fontane,Theodor,Mann,30. Dezember 1819,20. September 1898,Neuruppin,12.80311,52.92815
thomasius_discours_1690,Christian Thomas eröffnet Der Studirenden Jugend zu Leipzig in einem Discours Welcher Gestalt man denen Frantzosen im gemeinen Leben und Wandel nachahmen solle?,Gebrauchsliteratur,Christian Thomasius,1690,http://d-nb.info/gnd/11862220X,11862220X,Christian Thomasius,Thomasius,Christian,Mann,1. Januar 1655,23. September 1728,Leipzig,12.371111,51.339444
