Condition	Chain	Participant	native	color_markers	generation	chain_state
0	1	1	english	0	1	2
0	1	2	finnish	0	2	2
0	1	3	german	0	3	2
0	1	4	bulgarian	5	4	2
0	1	5	german	4	5	2
0	2	6	lithuanian	1	1	2
0	2	7	german	0	2	2
0	2	8	greek	0	3	2
0	2	9	polish	0	4	2
0	2	10	english	0	5	2
0	3	11	dutch	1	1	1
0	3	12	hungarian	0	2	1
0	3	13	danish	3	3	1
0	3	14	english	0	4	1
0	3	15	english	13	5	1
0	4	16	german	0	1	0
0	4	17	danish	0	2	0
0	4	18	other	2	3	0
0	4	19	romanian	0	4	0
0	4	20	italian	16	5	0
0	5	21	english	13	1	1
0	5	22	english	16	2	1
0	5	23	english	16	3	1
0	5	24	other	16	4	1
0	5	25	hungarian	16	5	1
0	6	26	danish	0	1	1
0	6	27	german	16	2	1
0	6	28	english	16	3	1
0	6	29	english	16	4	1
0	6	30	german	16	5	1
0	7	31	german	1	1	2
0	7	32	english	x	2	2
0	7	33	german	x	3	2
0	7	34	english	x	4	2
0	7	35	german	x	5	2
0	8	36	german	0	1	0
0	8	37	french	6	2	0
0	8	38	english	8	3	0
0	8	39	russian	5	4	0
0	8	40	english	1	5	0
0	9	41	finnish	0	1	1
0	9	42	estonian	0	2	1
0	9	43	estonian	6	3	1
0	9	44	finnish	15	4	1
0	9	45	other	16	5	1
0	10	46	estonian	0	1	2
0	10	47	german	0	2	2
0	10	48	estonian	0	3	2
0	10	49	german	0	4	2
0	10	50	german	0	5	2
0	11	51	estonian	1	1	0
0	11	52	german	0	2	0
0	11	53	french	3	3	0
0	11	54	greek	3	4	0
0	11	55	estonian	0	5	0
0	12	56	german	0	1	0
0	12	57	german	0	2	0
0	12	58	spanish	0	3	0
0	12	59	greek	0	4	0
0	12	60	greek	3	5	0
0	13	61	german	16	1	0
0	13	62	estonian	16	2	0
0	13	63	german	16	3	0
0	13	64	german	16	4	0
0	13	65	german	16	5	0
0	14	66	english	13	1	0
0	14	67	danish	15	2	0
0	14	68	english	16	3	0
0	14	69	portuguese	16	4	0
0	14	70	english	16	5	0
0	15	71	german	1	1	0
0	15	72	estonian	1	2	0
0	15	73	german	0	3	0
0	15	74	other	2	4	0
0	15	75	english	5	5	0
0	16	76	german	0	1	0
0	16	77	english	0	2	0
0	16	78	estonian	0	3	0
0	16	79	estonian	0	4	0
0	16	80	english	0	5	0
0	17	81	german	8	1	2
0	17	82	estonian	8	2	2
0	17	83	german	6	3	2
0	17	84	german	0	4	2
0	17	85	other	1	5	2
0	18	86	german	3	1	2
0	18	87	danish	2	2	2
0	18	88	german	2	3	2
0	18	89	german	0	4	2
0	18	90	german	0	5	2
0	19	91	german	0	1	0
0	19	92	serbo-croatian	16	2	0
0	19	93	english	16	3	0
0	19	94	english	16	4	0
0	19	95	german	16	5	0
1	20	96	english	6	1	2
1	20	97	arabic	0	2	2
1	20	98	estonian	2	3	2
1	20	99	german	2	4	2
1	20	100	latvian	4	5	2
1	21	101	danish	0	1	0
1	21	102	english	0	2	0
1	21	103	danish	16	3	0
1	21	104	german	16	4	0
1	21	105	norwegian	16	5	0
1	22	106	estonian	1	1	1
1	22	107	spanish	7	2	1
1	22	108	german	16	3	1
1	22	109	german	16	4	1
1	22	110	german	16	5	1
1	23	111	german	11	1	2
1	23	112	german	4	2	2
1	23	113	danish	11	3	2
1	23	114	english	9	4	2
1	23	115	german	9	5	2
1	24	116	german	16	1	0
1	24	117	german	16	2	0
1	24	118	german	16	3	0
1	24	119	german	16	4	0
1	24	120	danish	16	5	0
1	25	121	german	1	1	1
1	25	122	german	8	2	1
1	25	123	english	16	3	1
1	25	124	german	16	4	1
1	25	125	german	16	5	1
1	26	126	english	16	1	1
1	26	127	english	16	2	1
1	26	128	estonian	16	3	1
1	26	129	german	16	4	1
1	26	130	german	16	5	1
1	27	131	german	x	1	2
1	27	132	engurish	x	2	2
1	27	133	other	x	3	2
1	27	134	english	x	4	2
1	27	135	german	x	5	2
1	28	136	english	16	1	1
1	28	137	danish	16	2	1
1	28	138	german	16	3	1
1	28	139	german	16	4	1
1	28	140	german	16	5	1
1	29	141	german	3	1	2
1	29	142	romanian	12	2	2
1	29	143	other	x	3	2
1	29	144	other	x	4	2
1	29	145	danish	x	5	2
1	30	146	estonian	16	1	0
1	30	147	english	16	2	0
1	30	148	german	16	3	0
1	30	149	estonian	16	4	0
1	30	150	estonian	16	5	0
1	31	151	estonian	11	1	0
1	31	152	estonian	16	2	0
1	31	153	sorbian	16	3	0
1	31	154	german	16	4	0
1	31	155	german	16	5	0
1	32	156	english	0	1	1
1	32	157	german	3	2	1
1	32	158	other	7	3	1
1	32	159	german	16	4	1
1	32	160	estonian	16	5	1
1	33	161	finnish	1	1	0
1	33	162	german	16	2	0
1	33	163	english	16	3	0
1	33	164	english	16	4	0
1	33	165	estonian	16	5	0
1	34	166	german	0	1	0
1	34	167	greek	16	2	0
1	34	168	other	16	3	0
1	34	169	arabic	16	4	0
1	34	170	german	16	5	0
1	35	171	greek	14	1	0
1	35	172	german	16	2	0
1	35	173	german	16	3	0
1	35	174	german	16	4	0
1	35	175	german	16	5	0
1	36	176	german	0	1	1
1	36	177	swedish	0	2	1
1	36	178	german	12	3	1
1	36	179	german	16	4	1
1	36	180	german	16	5	1
1	37	181	german	6	1	1
1	37	182	german	8	2	1
1	37	183	german	3	3	1
1	37	184	german	7	4	1
1	37	185	danish	16	5	1
1	38	186	german	7	1	0
1	38	187	english	7	2	0
1	38	188	polish	6	3	0
1	38	189	german	15	4	0
1	38	190	russian	16	5	0
1	39	191	russian	0	1	0
1	39	192	other	7	2	0
1	39	193	russian	16	3	0
1	39	194	german	16	4	0
1	39	195	english	16	5	0
1	40	196	german	2	1	1
1	40	197	german	5	2	1
1	40	198	english	16	3	1
1	40	199	english	16	4	1
1	40	200	english	16	5	1
1	41	201	serbian	x	1	2
1	41	202	finnish	x	2	2
1	41	203	other	x	3	2
1	41	204	english	x	4	2
1	41	205	other	x	5	2
